StrainID,Coverage,Assembly,Hybrid,NcontigsLonger0bp,NcontigsLonger1000bp,NcontigsLonger5000bp,NcontigsLonger10000bp,NcontigsLonger25000bp,NcontigsLonger50000bp,TotalLengthContigAbove0,TotalLengthContigAbove1000,TotalLengthContigAbove5000,TotalLengthContigAbove10000,TotalLengthContigAbove25000,TotalLengthContigAbove50000,Ncontigs,LargestContig,TotalLength,ReferenceLength,GC,ReferenceGC,N50,NG50,N75,NG75,L50,LG50,L75,LG75,Nmisassemblies,NmisassembledContigs,MisassembledContigsLength,LocalMisassemblies,NunalignedContigs,UnalignedLength,GenomeFraction,DuplicationRatio,NsPer100kbp,NmismatchesPer100kbp,NindelsPer100kbp,LargestAlignment,TotalAlignedLength,NA50,NGA50,NA75,NGA75,LA50,LGA50,LA75,LGA75
9108,52,F23197,1,225,93,56,54,49,39,6577538,6524736,6441997,6431512,6339258,5939330,122,384129,6544448,6535112,66.25,66.21,172560,172560,96030,96030,12,12,25,25,46,26,4146851,47,14 + 19 part,138905,92.173,1.063,0,942.39,19.04,272340,6028862,92750,92750,47933,47933,22,22,48,48
9108,52,F30658,1,224,93,56,54,49,38,6577158,6525003,6442264,6431779,6336690,5893007,122,384128,6544618,7273258,66.25,65.76,183521,168174,89682,62530,12,14,24,31,67,33,4577041,57,4 + 19 part,129097,83.581,1.055,0,962.75,21.04,383328,6088458,77902,72599,39040,29810,24,29,52,68
9108,52,F63912,1,228,92,55,53,49,39,6579339,6524899,6442160,6431675,6361089,5961042,122,384129,6545147,6641519,66.25,66.23,183521,172559,96030,96030,12,13,25,25,51,28,4608307,53,16 + 20 part,128892,90.357,1.069,0,961.88,21.05,327221,6009807,97906,97906,47125,39266,22,22,47,49
9108,52,F9670,1,227,94,57,55,50,40,6578112,6524974,6442235,6431750,6339496,5939567,125,384201,6545473,6794354,66.25,66.15,168174,163182,96030,89592,13,14,26,28,61,31,4589076,68,12 + 16 part,120826,88.956,1.063,0,986.61,24.8,261738,6051883,76010,75753,38917,34528,26,27,55,60
9108,52,F9676,1,226,95,58,56,51,41,6576622,6524789,6442050,6431565,6339311,5939383,122,384128,6543097,6368008,66.25,66.47,163182,163182,96030,98270,13,13,27,26,56,30,4156581,60,12 + 21 part,145523,93.485,1.075,0,973.88,20.95,337536,5959652,89481,90255,39040,47125,24,23,52,49
9108,52,FRD1,1,226,93,56,54,49,39,6578593,6525006,6442267,6431782,6336693,5936590,123,384128,6545699,6712339,66.25,66.09,183521,183521,89682,89592,12,12,25,26,64,29,4490243,58,8 + 18 part,128118,90.823,1.053,0,937.92,23.82,327253,6103596,82047,77649,39040,38044,24,25,52,55
9108,52,H27930,1,223,94,57,55,50,40,6575451,6524853,6442114,6431629,6339375,5939332,120,384129,6542348,6598021,66.26,66.23,168174,168174,96030,96030,13,13,26,26,54,30,4465777,53,11 + 19 part,144260,90.269,1.074,0,984.04,21.42,272282,5963761,76344,76344,44268,39668,25,25,53,54
9108,52,H47921,1,217,90,53,51,48,39,6575747,6525741,6442515,6432030,6378688,6016997,117,384129,6543995,6836415,66.25,66.07,172559,168174,98270,89745,12,13,24,26,60,25,4259769,56,15 + 18 part,144368,87.486,1.07,0,956.31,20.48,339604,5986651,77281,71921,39615,34293,24,26,52,58
9108,52,H5708,1,226,93,56,54,49,39,6578087,6524861,6442122,6431637,6332124,5932200,122,384296,6544581,6351710,66.25,66.5,172559,172559,96030,101709,12,12,25,23,42,22,3301839,53,17 + 18 part,140542,93.313,1.08,0,968.59,20.79,383511,5935497,95375,99136,47125,49158,19,18,45,42
9108,52,idba,0,210,141,106,96,81,50,6549641,6520481,6438436,6375911,6092807,4913082,159,180852,6533835,6264404,66.26,66.56,90883,95494,50500,53848,26,24,50,46,47,34,2814310,56,11 + 30 part,303592,94.314,1.055,0,964.56,20.48,180652,5913491,51235,53288,28727,31635,37,34,79,72
9108,52,idba_ud,0,247,129,90,84,74,46,6570687,6523764,6435925,6397030,6212358,5153714,154,349241,6541440,6264404,66.26,66.56,102164,113656,55499,59767,21,19,42,38,47,32,3027661,57,12 + 31 part,205801,94.375,1.072,0,967.18,20.79,335624,5919909,56117,59767,31423,33401,31,28,70,63
9108,52,IOMTU_133,1,209,89,52,50,47,38,6572430,6525226,6442487,6432002,6378660,6017068,115,420869,6542738,6897018,66.25,65.98,183521,172559,101709,89593,11,12,23,26,45,23,4172497,33,16 + 15 part,131629,87.491,1.062,0,588.39,11.82,294905,6040464,104079,94976,49387,44268,19,21,44,49
9108,52,LES431,1,226,92,55,53,49,39,6578661,6524912,6442173,6431688,6361102,5961174,121,384129,6544831,6550070,66.25,66.34,172559,172559,96030,96030,12,12,25,25,57,28,4096870,58,9 + 19 part,138357,91.433,1.07,0,959.07,20.62,339245,5997579,89592,89592,39668,39668,23,23,51,51
9108,52,LESB58,1,225,91,54,52,48,38,6578537,6524788,6442049,6431564,6360978,5961050,120,384129,6544707,6601757,66.25,66.3,183521,183521,96030,96030,12,12,24,24,61,30,4337708,57,9 + 18 part,134266,90.698,1.071,0,968.58,20.36,339245,5996444,83933,83933,39668,39580,23,23,51,52
9108,52,M1608,1,216,89,52,49,46,36,6576144,6525184,6442446,6426282,6372940,5973366,119,420869,6545432,6475385,66.25,65.96,213095,213927,98270,98270,11,10,21,21,62,27,4803431,33,16 + 15 part,409892,88.356,1.072,0,636.49,14.72,299577,5730617,78570,81399,30712,31319,22,21,54,53
9108,52,M18,1,226,95,58,55,50,39,6577176,6525239,6442500,6422512,6334772,5891927,123,384128,6544325,6327754,66.25,66.5,168174,172559,96030,101709,13,12,26,24,48,26,3884361,59,14 + 25 part,187980,92.938,1.081,0,978.84,20.23,337827,5887853,81402,87319,39216,45082,24,22,51,47
9108,52,M37351,1,217,89,52,49,46,37,6576549,6525251,6442513,6426349,6373007,6017108,119,420869,6545499,6897231,66.25,65.97,183521,172559,101709,89593,11,12,22,25,65,31,5181842,36,15 + 12 part,105922,87.4,1.068,0,631.14,13.8,299577,6035220,82530,78570,39539,31319,22,24,51,58
9108,52,MTB-1,1,209,90,53,51,47,38,6572114,6525128,6442389,6431904,6361269,5999794,116,495593,6542872,6580038,66.25,66.24,183521,183521,98270,96030,12,12,23,24,37,20,3702577,34,11 + 24 part,161794,91.243,1.063,0,608.33,11.91,383429,6011780,100376,100376,49424,49387,19,19,42,43
9108,52,N17-1,1,226,93,56,53,48,38,6577728,6525046,6442307,6422319,6330065,5929915,122,485850,6544408,6370730,66.25,66.41,172559,183521,96030,98270,12,11,24,23,43,26,4205549,55,14 + 22 part,163114,93.61,1.07,0,988.47,21.18,390300,5972172,97850,102487,49387,51898,19,18,44,42
9108,52,NCGM_1900,1,211,89,53,50,46,37,6572601,6524746,6446052,6426064,6351054,5989581,115,614533,6542174,6814936,66.25,65.98,183521,172559,102164,89593,11,12,22,25,48,24,4194847,28,12 + 18 part,195507,87.608,1.063,0,596.71,12.58,369349,5976993,99018,94729,47854,41375,20,21,45,50
9108,52,NCGM_1984,1,212,90,54,51,47,38,6572725,6524870,6446176,6426188,6351178,5989705,116,485838,6542298,6850954,66.25,65.96,172559,168174,102164,89593,12,13,23,26,47,24,4066152,29,12 + 18 part,195507,87.148,1.063,0,596.82,12.34,369349,5977138,99018,94729,47854,41375,20,21,45,50
9108,52,NCGM257,1,207,89,54,52,48,39,6571585,6525501,6447390,6436905,6361895,6000313,114,384235,6542371,7090694,66.25,65.91,172559,163182,98270,86727,12,14,24,29,41,24,4183014,27,8 + 6 part,101592,86.24,1.053,0,565.41,11.27,260320,6121473,100280,97655,55499,44268,21,24,43,52
9108,52,NCTC10332,1,217,90,53,51,48,38,6575109,6525245,6442506,6432021,6378679,5978644,116,420869,6543035,6316979,66.25,66.52,183521,183521,98270,101709,11,11,23,22,45,22,4021956,53,18 + 20 part,153469,94.283,1.073,0,940.95,22.2,339601,5962974,85540,89592,43330,47126,21,20,48,45
9108,52,PA1,1,218,90,53,51,47,38,6576037,6525149,6442410,6431925,6361339,5999868,118,384128,6544039,6498072,66.25,66.35,172559,183521,101709,101709,12,11,23,23,52,28,4608873,59,17 + 20 part,149444,91.251,1.078,0,922.04,20.39,337584,5935442,89593,92132,47185,47278,23,22,50,49
9108,52,PA1R,1,218,90,53,51,47,38,6576191,6525303,6442564,6432079,6361493,6000022,118,384128,6544193,6309305,66.25,66.29,172559,183521,101845,106145,12,11,23,22,48,26,4509814,51,17 + 23 part,355587,90.672,1.082,0,934.08,20.91,337364,5728827,82974,89593,38825,46989,23,22,52,48
9108,52,PA1RG,1,218,90,53,51,47,38,6575959,6525071,6442332,6431847,6361261,5999790,118,384128,6543961,6500439,66.25,66.34,172559,183521,101709,101709,12,11,23,23,52,29,4958114,59,17 + 20 part,149444,91.218,1.078,0,911.75,20.1,259771,5935442,89593,96719,47185,47278,23,22,50,49
9108,52,PA7,1,293,120,82,76,68,48,6592697,6525057,6439774,6400985,6254961,5502484,147,349241,6543540,6588339,66.26,66.45,121658,121658,62530,62530,20,20,38,38,16,10,748674,12,40 + 70 part,4602255,24.519,1.202,0,3696.67,115.7,90601,1619870,-,,,,,,,
9108,52,PAO1,1,222,92,55,52,49,39,6577816,6525827,6442601,6422613,6369271,5969225,121,384128,6545729,6264404,66.25,66.56,172559,183521,96030,102164,12,11,25,22,48,26,3927725,56,12 + 21 part,123904,94.44,1.085,0,970.32,20.77,350992,5923347,89593,94449,39040,47129,21,20,50,45
9108,52,PAO1_Orsay,1,222,92,55,52,49,39,6577822,6525833,6442607,6422619,6369277,5969231,121,384128,6545735,6276469,66.25,66.54,172559,183521,96030,101709,12,11,25,23,49,26,3927725,57,12 + 20 part,119763,94.277,1.086,0,955.66,20.13,350989,5924510,89593,94449,39040,47129,21,20,50,45
9108,52,RP73,1,229,93,56,54,50,40,6579463,6525023,6442284,6431799,6361213,5961166,123,384129,6545271,6342034,66.25,66.46,168174,172559,96030,101709,13,12,26,24,46,28,4343466,52,16 + 23 part,148946,93.77,1.076,0,968.66,21.51,349214,5955578,99371,102487,40435,47942,21,20,47,43
9108,52,S86968,1,227,95,58,55,50,40,6577618,6525007,6442268,6422280,6330026,5930097,124,384202,6544535,6951288,66.25,66.04,168174,163182,96030,89341,13,14,26,29,72,34,4656011,62,13 + 17 part,198047,85.903,1.063,0,990.47,21.59,261643,5979318,70415,63813,34528,27356,26,29,58,68
9108,52,SCV20265,1,229,92,56,54,50,40,6580340,6524878,6443209,6432724,6357714,5957664,125,384128,6546740,6725183,66.25,66.25,168174,168174,96030,89745,13,13,26,27,52,27,4506182,46,11 + 18 part,117929,90.294,1.059,0,953.21,20.14,261853,6080264,98436,95375,47854,39668,24,25,49,52
9108,52,sga,0,989,663,391,226,53,5,6614978,6479144,5778272,4593710,1850571,271249,780,57921,6563120,6264404,66.25,66.56,16432,17468,8589,9691,124,116,262,237,27,26,528255,44,108 + 91 part,566101,94.05,1.018,0,965.21,20.38,50939,5942408,14338,15235,6744,7538,139,129,305,274
9108,52,sgvi,0,144,88,69,62,55,37,6579647,6550061,6499382,6454422,6314596,5608568,117,482386,6570998,6264404,66.24,66.56,157282,159355,80194,89056,12,11,27,24,56,29,4084450,61,17 + 21 part,141367,94.525,1.086,0,972.76,20.76,335970,5935039,70407,76470,34020,39806,24,22,57,51
9108,52,SJTD-1,1,223,93,57,54,49,38,6577205,6525106,6443437,6423449,6335647,5892913,121,384202,6544391,6243825,66.25,66.5,183521,183521,96030,106145,12,12,25,22,52,27,4250742,57,11 + 18 part,125851,94.512,1.088,0,941.16,20.52,344889,5909712,76836,89592,38623,45894,23,21,52,46
9108,52,soapdenovo2,0,3208,747,419,224,35,2,6767660,6409977,5513130,4082978,1166829,120389,829,62108,6470245,6264404,66.26,66.56,13414,14046,7451,8091,151,143,312,292,31,29,477724,47,44 + 60 part,529137,93.209,1.017,0,956.25,19.73,62107,5844952,10691,10929,5097,5559,181,172,395,366
9108,52,T38079,1,228,94,57,55,50,40,6578814,6524972,6442234,6431749,6339495,5939566,125,384201,6545731,6809437,66.25,66.15,168174,163182,96030,89592,13,14,26,28,61,31,4589075,68,12 + 16 part,121314,88.783,1.063,0,987,21.77,261738,6053522,76010,74440,38917,34528,25,27,54,59
9108,52,T52373,1,224,93,56,54,50,40,6577045,6525087,6442348,6431863,6361277,5961349,120,384128,6543610,6322459,66.25,66.51,168174,172559,96030,101709,13,12,26,24,46,26,3990159,59,11 + 15 part,124457,93.999,1.08,0,951.35,21.2,343176,5950336,89157,95375,39668,47278,22,20,50,46
9108,52,T63266,1,224,92,55,53,49,39,6577179,6524798,6442059,6431574,6356564,5956636,120,384129,6543688,6456866,66.25,66.33,172558,172558,96030,98270,12,12,25,24,50,28,4689544,58,7 + 13 part,111449,92.484,1.077,0,977.45,22.42,327100,5980034,81516,81516,39167,44268,22,22,50,48
9108,52,UCBPP-PA14,1,214,88,52,49,46,37,6575836,6525204,6443536,6427372,6374030,6018131,118,420869,6545452,6537648,66.25,66.29,183521,183521,101709,101709,11,11,22,22,48,26,4682625,39,15 + 14 part,111417,91.792,1.072,0,618.98,14.11,301964,6009660,101669,101669,47935,47935,20,20,46,46
9108,52,USDA-ARS-USMARC-41639,1,223,91,54,52,49,39,6578356,6525359,6442620,6432135,6378793,5978864,120,384271,6545325,6364583,66.25,66.39,172559,172559,98270,101781,12,12,24,23,51,29,4264291,60,16 + 18 part,121156,93.412,1.081,0,953.28,20.08,357798,5951173,99136,99136,44268,47942,20,20,48,45
9108,52,VA-134,1,226,93,56,54,50,40,6578010,6525233,6442494,6432009,6361423,5961372,123,384129,6545187,6400418,66.25,66.42,168174,172559,96030,98270,13,12,26,25,48,28,4566739,53,21 + 17 part,145005,92.781,1.078,0,981.48,21.03,326909,5945043,95375,97906,39691,47078,23,22,50,47
9108,52,velvet_57,0,212,138,106,92,76,43,6528345,6504574,6428452,6338579,6043145,4801099,153,286766,6515075,6264404,66.3,66.56,98995,102013,47816,58093,23,21,45,41,50,36,3608204,77,14 + 24 part,284068,94.122,1.057,39.43,967.17,21.05,190363,5902205,54744,56010,28732,31417,35,33,76,70
9108,52,velvet_optimiser,0,285,209,157,133,92,41,6576503,6548352,6406933,6231901,5493121,3613773,224,260432,6559487,6264404,66.26,66.56,59075,62640,34535,35388,35,33,73,67,49,39,2400072,64,24 + 41 part,403226,94.407,1.041,179.89,975.56,23.77,158721,5930151,42962,43549,19989,22383,45,42,102,92
9108,52,velvet_parametrized,0,215,139,103,93,76,45,6532207,6509256,6430278,6362716,6042093,4849916,150,341456,6517018,6264404,66.3,66.56,94997,99050,49881,55011,23,22,46,43,48,36,3064240,74,15 + 24 part,291312,94.15,1.056,61.98,967.59,20.91,327740,5900434,53270,54449,30519,32500,34,32,74,68
9108,52,velvet_unknown,0,551,358,234,175,92,27,6483729,6423093,6115045,5685992,4328586,2010403,398,132073,6451481,6264404,66.34,66.56,36130,36613,18466,20923,56,54,116,109,39,35,1268529,81,34 + 48 part,473161,93.33,1.023,75.38,968.26,22.9,116662,5848134,27561,28656,12256,12985,70,67,158,147
9108,52,VRFPA04,1,222,99,62,59,53,42,6573087,6525023,6442283,6426119,6309304,5867035,124,485844,6541999,6818030,66.25,66.48,152024,145437,89594,81134,14,15,28,31,398,55,6254070,129,26 + 14 part,106834,85.145,1.109,0,600.55,21.41,77996,5816847,23889,22772,9942,8500,81,86,185,207
9108,52,W16407,1,226,92,55,53,49,39,6579364,6525131,6442392,6431907,6361321,5961281,123,384128,6546331,6829406,66.25,65.93,172558,168174,96030,89593,12,13,25,27,59,31,4961839,60,17 + 20 part,134176,87.041,1.079,0,971.72,22.9,263444,5950163,84419,79420,38825,34293,22,24,51,56
9108,52,W36662,1,227,93,56,54,50,39,6578295,6525175,6442436,6431951,6356941,5908136,120,379211,6543480,6804266,66.25,66.17,172560,168174,96030,89592,12,13,25,27,65,29,4415342,49,21 + 16 part,163475,87.719,1.069,0,987.74,21.26,337542,5975762,74440,71446,36793,33014,23,25,55,61
9108,52,W45909,1,226,92,55,53,49,39,6578728,6525389,6442650,6432165,6361579,5961479,123,384128,6545756,6803881,66.25,66.25,172559,168174,96030,89592,12,13,25,27,45,23,3754441,61,16 + 16 part,121332,89.211,1.058,0,989.09,23.87,337749,6078804,103784,101770,47935,39668,20,21,45,49
9108,52,W60856,1,231,94,57,55,50,40,6580346,6525110,6442371,6431886,6339567,5939467,126,384130,6546446,6907606,66.25,66.18,168174,163182,96030,89341,13,14,26,29,65,33,4945066,54,10 + 20 part,90071,88.182,1.06,0,983.49,20.73,261648,6098782,71544,69529,39326,32609,27,29,55,63
9108,52,X78812,1,222,93,56,54,50,39,6576100,6525193,6442454,6431969,6361383,5917780,120,384129,6543541,6371121,66.25,66.42,172559,172559,89745,98270,12,12,25,23,49,28,4030636,53,10 + 20 part,134867,94.013,1.07,0,962.19,20.35,339377,5995715,76470,78148,39985,47854,23,22,50,47
9108,52,YL84,1,224,92,55,53,49,39,6577242,6524974,6442235,6431750,6361115,5961187,121,384129,6544372,6433441,66.25,66.43,183521,183521,96030,98270,12,12,25,24,53,31,4389493,50,10 + 19 part,128490,92.84,1.074,0,981.43,21.73,337561,5979578,76344,95331,39501,44268,22,21,50,48
9109,49,12-4-4_59,1,134,70,52,48,41,30,6189673,6161080,6121594,6093410,5975667,5571269,92,662155,6177276,6431911,66.53,66.35,232238,232238,106417,97934,8,8,18,20,41,24,4360829,35,5 + 12 part,66108,92.314,1.029,0,486.65,10.32,421109,5942461,107719,103043,59478,50274,15,17,36,39
9109,49,8380,1,131,66,49,46,40,28,6190376,6161258,6125501,6103516,6008876,5577560,89,662155,6177955,6613260,66.52,66.23,234790,232238,115712,97934,8,9,17,20,33,20,4179538,39,1 + 10 part,66839,89.74,1.03,0,453.84,9.4,343815,5940475,106417,96934,64086,50274,16,18,35,40
9109,49,AES-1R,1,132,68,50,46,39,28,6190403,6161239,6121557,6092054,5974311,5569913,91,662155,6178041,6343337,66.52,66.51,232238,232238,115712,106417,8,8,17,18,46,23,4343212,35,4 + 18 part,110995,92.659,1.032,0,480.65,10.28,343586,5883828,119091,116286,56047,52145,16,17,35,37
9109,49,ATCC_27853,1,144,76,57,51,42,29,6190849,6159815,6117787,6074776,5908321,5428747,101,662032,6178091,6827737,66.52,66.11,232238,208411,105736,87723,9,11,19,25,45,26,4705340,47,8 + 17 part,181289,85.344,1.029,0,454.38,8.77,340824,5835446,105372,93088,53625,34239,18,22,39,50
9109,49,B136-33,1,135,71,53,49,42,30,6190416,6162242,6121893,6093734,5975991,5536522,93,662155,6178095,6421010,66.52,66.42,232238,208411,99004,96416,8,9,19,21,52,25,4817694,62,2 + 16 part,88360,91.214,1.04,0,977.14,19.4,291704,5862978,93460,92814,47507,42592,21,22,43,47
9109,49,BAMCPA07-48,1,134,71,53,50,42,30,6190102,6161650,6121968,6102165,5966333,5526864,93,662154,6177946,7021552,66.52,66.03,232238,205915,97934,71028,9,11,19,26,60,24,4680887,56,4 + 15 part,83699,83.893,1.035,0,975.49,22.41,535576,5897054,92988,76473,42810,29341,20,25,45,62
9109,49,Carb01_63,1,132,68,50,47,40,27,6189323,6161107,6121621,6101793,5984050,5488559,89,662155,6176695,7497593,66.53,65.6,232238,202640,115712,46284,8,11,17,30,58,31,5333941,53,8 + 13 part,103758,78.416,1.033,0,523.53,11.19,653037,5887028,121071,73036,47811,17594,16,23,37,70
9109,49,clc,0,192,95,78,71,59,41,6172430,6139853,6092827,6042537,5814977,5128797,110,570059,6150260,6264404,66.53,66.56,115283,115283,78045,74308,17,17,33,34,39,25,3232978,44,3 + 15 part,65101,93.929,1.034,7.72,495.66,11.08,228188,5886820,77706,75315,41037,38126,25,26,53,55
9109,49,Cu1510,1,133,70,52,47,41,30,6189947,6161550,6121868,6084009,5979608,5582975,92,662155,6177746,6123018,66.52,66.65,232238,232238,106402,115712,9,9,18,17,66,29,5020596,99,9 + 25 part,96965,94.071,1.056,0,955.28,27.85,561652,5763463,95792,96299,39328,40180,18,17,43,42
9109,49,DHS01,1,130,67,49,46,39,28,6189829,6161224,6121542,6101714,5983971,5579573,90,662155,6177921,7055752,66.52,65.76,234790,208787,115712,72665,8,10,16,23,50,23,4525261,30,5 + 11 part,158205,82.215,1.038,0,477.12,10.31,341101,5806039,92604,76634,55601,28240,18,23,40,56
9109,49,DK2,1,130,68,51,48,42,28,6189066,6160440,6124487,6102502,6007862,5499797,91,662155,6177502,6402658,66.52,66.27,232238,208786,115712,106417,8,9,18,19,32,24,3810710,45,10 + 10 part,108143,91.848,1.032,0,495.99,10.73,659973,5884520,152422,147922,61628,56047,12,13,29,31
9109,49,DSM_50071,1,130,68,50,47,41,31,6189674,6161295,6121613,6101810,5997409,5635851,91,662155,6178097,6317050,66.52,66.52,232238,232238,109372,106417,8,8,18,19,36,17,4028622,39,6 + 13 part,66019,94.343,1.026,0,491.08,9.78,343817,5964809,106417,106417,56101,55524,18,18,38,39
9109,49,F22031,1,133,70,52,48,41,29,6189343,6161185,6121699,6093515,5975772,5536303,92,662155,6177379,6603099,66.52,66.22,232238,208411,106417,96356,8,9,18,21,46,24,4652375,48,3 + 18 part,89515,89.015,1.036,0,486.51,10.12,454666,5882561,106417,96356,52415,42236,15,17,35,42
9109,49,F23197,1,132,68,50,46,39,28,6189875,6161203,6121717,6093769,5976026,5571628,91,662155,6177900,6535112,66.53,66.21,232238,232238,122552,106417,9,9,17,20,39,24,4274362,34,9 + 11 part,91535,90.514,1.029,0,522.77,11.9,343817,5920019,132035,106417,64086,49816,15,16,33,38
9109,49,F30658,1,128,68,50,47,40,27,6188305,6161231,6121549,6101721,5983978,5488487,89,662155,6176819,7273258,66.53,65.76,234790,208411,112398,50126,8,10,17,27,51,25,4561625,47,7 + 12 part,82786,81.114,1.033,0,508.81,11.29,375554,5906427,116034,94622,59139,28335,17,22,35,55
9109,49,F63912,1,129,65,48,46,40,28,6190412,6161472,6125519,6113234,6018594,5587278,88,662155,6178167,6641519,66.52,66.23,232238,208799,115712,100009,8,9,17,20,36,18,4162053,35,4 + 8 part,56520,89.738,1.027,0,475.71,10.81,343817,5965152,106660,100570,61211,49643,16,18,35,41
9109,49,F9670,1,137,70,52,48,41,29,6191368,6161307,6121821,6093873,5976130,5536661,94,662155,6178610,6794354,66.52,66.15,232238,202640,109372,91062,8,10,18,23,47,27,4621635,36,4 + 11 part,74705,87.366,1.028,0,457.3,13.09,343670,5941126,106261,98155,53625,42236,17,20,37,46
9109,49,F9676,1,134,70,52,48,41,30,6189838,6161247,6121761,6093813,5976070,5571672,92,662155,6177441,6368008,66.52,66.47,232238,208411,112353,109372,9,10,19,20,33,20,3758044,38,4 + 12 part,84712,93.198,1.027,0,465.38,11.17,343817,5941219,119752,112646,64086,56177,15,16,33,36
