StrainID,Assembly,Hybrid,Coverage,Ncontigs,LargestContig,TotalLength,ReferenceLength,GC,ReferenceGC,N50,NG50,N75,NG75,L50,LG50,L75,LG75,Nmisassemblies,NmisassembledContigs,MisassembledContigsLength,LocalMisassemblies,UnalignedLength,GenomeFraction,NmismatchesPer100kbp,NindelsPer100kbp,LargestAlignment,TotalAlignedLength,NA50,NGA50,NA75,NGA75,LA50,LGA50,LA75,LGA75
9108,F22031,1,52,121,384129,6543497,6603099,66.25,66.22,168174,168174,96030,96030,13,13,26,26,55,31,4192954,72,103086,90.335,967.41,20.39,339467,5973109,76455,74759,39668,39283,23,24,52,53
9108,F23197,1,52,122,384129,6544448,6535112,66.25,66.21,172560,172560,96030,96030,12,12,25,25,46,26,4146851,47,138905,92.173,942.39,19.04,272340,6028862,92750,92750,47933,47933,22,22,48,48
9108,F30658,1,52,122,384128,6544618,7273258,66.25,65.76,183521,168174,89682,62530,12,14,24,31,67,33,4577041,57,129097,83.581,962.75,21.04,383328,6088458,77902,72599,39040,29810,24,29,52,68
9108,F63912,1,52,122,384129,6545147,6641519,66.25,66.23,183521,172559,96030,96030,12,13,25,25,51,28,4608307,53,128892,90.357,961.88,21.05,327221,6009807,97906,97906,47125,39266,22,22,47,49
9108,F9670,1,52,125,384201,6545473,6794354,66.25,66.15,168174,163182,96030,89592,13,14,26,28,61,31,4589076,68,120826,88.956,986.61,24.8,261738,6051883,76010,75753,38917,34528,26,27,55,60
9108,F9676,1,52,122,384128,6543097,6368008,66.25,66.47,163182,163182,96030,98270,13,13,27,26,56,30,4156581,60,145523,93.485,973.88,20.95,337536,5959652,89481,90255,39040,47125,24,23,52,49
9108,FRD1,1,52,123,384128,6545699,6712339,66.25,66.09,183521,183521,89682,89592,12,12,25,26,64,29,4490243,58,128118,90.823,937.92,23.82,327253,6103596,82047,77649,39040,38044,24,25,52,55
9108,H27930,1,52,120,384129,6542348,6598021,66.26,66.23,168174,168174,96030,96030,13,13,26,26,54,30,4465777,53,144260,90.269,984.04,21.42,272282,5963761,76344,76344,44268,39668,25,25,53,54
9108,H47921,1,52,117,384129,6543995,6836415,66.25,66.07,172559,168174,98270,89745,12,13,24,26,60,25,4259769,56,144368,87.486,956.31,20.48,339604,5986651,77281,71921,39615,34293,24,26,52,58
9108,H5708,1,52,122,384296,6544581,6351710,66.25,66.5,172559,172559,96030,101709,12,12,25,23,42,22,3301839,53,140542,93.313,968.59,20.79,383511,5935497,95375,99136,47125,49158,19,18,45,42
9108,idba,0,52,159,180852,6533835,6264404,66.26,66.56,90883,95494,50500,53848,26,24,50,46,47,34,2814310,56,303592,94.314,964.56,20.48,180652,5913491,51235,53288,28727,31635,37,34,79,72
9108,idba_ud,0,52,154,349241,6541440,6264404,66.26,66.56,102164,113656,55499,59767,21,19,42,38,47,32,3027661,57,205801,94.375,967.18,20.79,335624,5919909,56117,59767,31423,33401,31,28,70,63
9108,IOMTU_133,1,52,115,420869,6542738,6897018,66.25,65.98,183521,172559,101709,89593,11,12,23,26,45,23,4172497,33,131629,87.491,588.39,11.82,294905,6040464,104079,94976,49387,44268,19,21,44,49
9108,LES431,1,52,121,384129,6544831,6550070,66.25,66.34,172559,172559,96030,96030,12,12,25,25,57,28,4096870,58,138357,91.433,959.07,20.62,339245,5997579,89592,89592,39668,39668,23,23,51,51
9108,LESB58,1,52,120,384129,6544707,6601757,66.25,66.3,183521,183521,96030,96030,12,12,24,24,61,30,4337708,57,134266,90.698,968.58,20.36,339245,5996444,83933,83933,39668,39580,23,23,51,52
9108,M1608,1,52,119,420869,6545432,6475385,66.25,65.96,213095,213927,98270,98270,11,10,21,21,62,27,4803431,33,409892,88.356,636.49,14.72,299577,5730617,78570,81399,30712,31319,22,21,54,53
9108,M18,1,52,123,384128,6544325,6327754,66.25,66.5,168174,172559,96030,101709,13,12,26,24,48,26,3884361,59,187980,92.938,978.84,20.23,337827,5887853,81402,87319,39216,45082,24,22,51,47
9108,M37351,1,52,119,420869,6545499,6897231,66.25,65.97,183521,172559,101709,89593,11,12,22,25,65,31,5181842,36,105922,87.4,631.14,13.8,299577,6035220,82530,78570,39539,31319,22,24,51,58
9108,MTB-1,1,52,116,495593,6542872,6580038,66.25,66.24,183521,183521,98270,96030,12,12,23,24,37,20,3702577,34,161794,91.243,608.33,11.91,383429,6011780,100376,100376,49424,49387,19,19,42,43
9108,N17-1,1,52,122,485850,6544408,6370730,66.25,66.41,172559,183521,96030,98270,12,11,24,23,43,26,4205549,55,163114,93.61,988.47,21.18,390300,5972172,97850,102487,49387,51898,19,18,44,42
9108,NCGM_1900,1,52,115,614533,6542174,6814936,66.25,65.98,183521,172559,102164,89593,11,12,22,25,48,24,4194847,28,195507,87.608,596.71,12.58,369349,5976993,99018,94729,47854,41375,20,21,45,50
9108,NCGM_1984,1,52,116,485838,6542298,6850954,66.25,65.96,172559,168174,102164,89593,12,13,23,26,47,24,4066152,29,195507,87.148,596.82,12.34,369349,5977138,99018,94729,47854,41375,20,21,45,50
9108,NCGM257,1,52,114,384235,6542371,7090694,66.25,65.91,172559,163182,98270,86727,12,14,24,29,41,24,4183014,27,101592,86.24,565.41,11.27,260320,6121473,100280,97655,55499,44268,21,24,43,52
9108,NCTC10332,1,52,116,420869,6543035,6316979,66.25,66.52,183521,183521,98270,101709,11,11,23,22,45,22,4021956,53,153469,94.283,940.95,22.2,339601,5962974,85540,89592,43330,47126,21,20,48,45
9108,PA1,1,52,118,384128,6544039,6498072,66.25,66.35,172559,183521,101709,101709,12,11,23,23,52,28,4608873,59,149444,91.251,922.04,20.39,337584,5935442,89593,92132,47185,47278,23,22,50,49
9108,PA1R,1,52,118,384128,6544193,6309305,66.25,66.29,172559,183521,101845,106145,12,11,23,22,48,26,4509814,51,355587,90.672,934.08,20.91,337364,5728827,82974,89593,38825,46989,23,22,52,48
9108,PA1RG,1,52,118,384128,6543961,6500439,66.25,66.34,172559,183521,101709,101709,12,11,23,23,52,29,4958114,59,149444,91.218,911.75,20.1,259771,5935442,89593,96719,47185,47278,23,22,50,49
9108,PA7,1,52,147,349241,6543540,6588339,66.26,66.45,121658,121658,62530,62530,20,20,38,38,16,10,748674,12,4602255,24.519,3696.67,115.7,90601,1619870,0,0,0,0,0,0,0,0
9108,PAO1,1,52,121,384128,6545729,6264404,66.25,66.56,172559,183521,96030,102164,12,11,25,22,48,26,3927725,56,123904,94.44,970.32,20.77,350992,5923347,89593,94449,39040,47129,21,20,50,45
9108,PAO1_Orsay,1,52,121,384128,6545735,6276469,66.25,66.54,172559,183521,96030,101709,12,11,25,23,49,26,3927725,57,119763,94.277,955.66,20.13,350989,5924510,89593,94449,39040,47129,21,20,50,45
9108,RP73,1,52,123,384129,6545271,6342034,66.25,66.46,168174,172559,96030,101709,13,12,26,24,46,28,4343466,52,148946,93.77,968.66,21.51,349214,5955578,99371,102487,40435,47942,21,20,47,43
9108,S86968,1,52,124,384202,6544535,6951288,66.25,66.04,168174,163182,96030,89341,13,14,26,29,72,34,4656011,62,198047,85.903,990.47,21.59,261643,5979318,70415,63813,34528,27356,26,29,58,68
9108,SCV20265,1,52,125,384128,6546740,6725183,66.25,66.25,168174,168174,96030,89745,13,13,26,27,52,27,4506182,46,117929,90.294,953.21,20.14,261853,6080264,98436,95375,47854,39668,24,25,49,52
9108,sga,0,52,780,57921,6563120,6264404,66.25,66.56,16432,17468,8589,9691,124,116,262,237,27,26,528255,44,566101,94.05,965.21,20.38,50939,5942408,14338,15235,6744,7538,139,129,305,274
9108,sgvi,0,52,117,482386,6570998,6264404,66.24,66.56,157282,159355,80194,89056,12,11,27,24,56,29,4084450,61,141367,94.525,972.76,20.76,335970,5935039,70407,76470,34020,39806,24,22,57,51
9108,SJTD-1,1,52,121,384202,6544391,6243825,66.25,66.5,183521,183521,96030,106145,12,12,25,22,52,27,4250742,57,125851,94.512,941.16,20.52,344889,5909712,76836,89592,38623,45894,23,21,52,46
9108,soapdenovo2,0,52,829,62108,6470245,6264404,66.26,66.56,13414,14046,7451,8091,151,143,312,292,31,29,477724,47,529137,93.209,956.25,19.73,62107,5844952,10691,10929,5097,5559,181,172,395,366
9108,T38079,1,52,125,384201,6545731,6809437,66.25,66.15,168174,163182,96030,89592,13,14,26,28,61,31,4589075,68,121314,88.783,987,21.77,261738,6053522,76010,74440,38917,34528,25,27,54,59
9108,T52373,1,52,120,384128,6543610,6322459,66.25,66.51,168174,172559,96030,101709,13,12,26,24,46,26,3990159,59,124457,93.999,951.35,21.2,343176,5950336,89157,95375,39668,47278,22,20,50,46
9108,T63266,1,52,120,384129,6543688,6456866,66.25,66.33,172558,172558,96030,98270,12,12,25,24,50,28,4689544,58,111449,92.484,977.45,22.42,327100,5980034,81516,81516,39167,44268,22,22,50,48
9108,UCBPP-PA14,1,52,118,420869,6545452,6537648,66.25,66.29,183521,183521,101709,101709,11,11,22,22,48,26,4682625,39,111417,91.792,618.98,14.11,301964,6009660,101669,101669,47935,47935,20,20,46,46
9108,USDA-ARS-USMARC-41639,1,52,120,384271,6545325,6364583,66.25,66.39,172559,172559,98270,101781,12,12,24,23,51,29,4264291,60,121156,93.412,953.28,20.08,357798,5951173,99136,99136,44268,47942,20,20,48,45
9108,VA-134,1,52,123,384129,6545187,6400418,66.25,66.42,168174,172559,96030,98270,13,12,26,25,48,28,4566739,53,145005,92.781,981.48,21.03,326909,5945043,95375,97906,39691,47078,23,22,50,47
9108,velvet_57,0,52,153,286766,6515075,6264404,66.3,66.56,98995,102013,47816,58093,23,21,45,41,50,36,3608204,77,284068,94.122,967.17,21.05,190363,5902205,54744,56010,28732,31417,35,33,76,70
9108,velvet_optimiser,0,52,224,260432,6559487,6264404,66.26,66.56,59075,62640,34535,35388,35,33,73,67,49,39,2400072,64,403226,94.407,975.56,23.77,158721,5930151,42962,43549,19989,22383,45,42,102,92
9108,velvet_parametrized,0,52,150,341456,6517018,6264404,66.3,66.56,94997,99050,49881,55011,23,22,46,43,48,36,3064240,74,291312,94.15,967.59,20.91,327740,5900434,53270,54449,30519,32500,34,32,74,68
9108,velvet_unknown,0,52,398,132073,6451481,6264404,66.34,66.56,36130,36613,18466,20923,56,54,116,109,39,35,1268529,81,473161,93.33,968.26,22.9,116662,5848134,27561,28656,12256,12985,70,67,158,147
9108,VRFPA04,1,52,124,485844,6541999,6818030,66.25,66.48,152024,145437,89594,81134,14,15,28,31,398,55,6254070,129,106834,85.145,600.55,21.41,77996,5816847,23889,22772,9942,8500,81,86,185,207
9108,W16407,1,52,123,384128,6546331,6829406,66.25,65.93,172558,168174,96030,89593,12,13,25,27,59,31,4961839,60,134176,87.041,971.72,22.9,263444,5950163,84419,79420,38825,34293,22,24,51,56
9108,W36662,1,52,120,379211,6543480,6804266,66.25,66.17,172560,168174,96030,89592,12,13,25,27,65,29,4415342,49,163475,87.719,987.74,21.26,337542,5975762,74440,71446,36793,33014,23,25,55,61
9108,W45909,1,52,123,384128,6545756,6803881,66.25,66.25,172559,168174,96030,89592,12,13,25,27,45,23,3754441,61,121332,89.211,989.09,23.87,337749,6078804,103784,101770,47935,39668,20,21,45,49
9108,W60856,1,52,126,384130,6546446,6907606,66.25,66.18,168174,163182,96030,89341,13,14,26,29,65,33,4945066,54,90071,88.182,983.49,20.73,261648,6098782,71544,69529,39326,32609,27,29,55,63
9108,X78812,1,52,120,384129,6543541,6371121,66.25,66.42,172559,172559,89745,98270,12,12,25,23,49,28,4030636,53,134867,94.013,962.19,20.35,339377,5995715,76470,78148,39985,47854,23,22,50,47
9108,YL84,1,52,121,384129,6544372,6433441,66.25,66.43,183521,183521,96030,98270,12,12,25,24,53,31,4389493,50,128490,92.84,981.43,21.73,337561,5979578,76344,95331,39501,44268,22,21,50,48
9109,12-4-4_59,1,49,92,662155,6177276,6431911,66.53,66.35,232238,232238,106417,97934,8,8,18,20,41,24,4360829,35,66108,92.314,486.65,10.32,421109,5942461,107719,103043,59478,50274,15,17,36,39
9109,8380,1,49,89,662155,6177955,6613260,66.52,66.23,234790,232238,115712,97934,8,9,17,20,33,20,4179538,39,66839,89.74,453.84,9.4,343815,5940475,106417,96934,64086,50274,16,18,35,40
9109,AES-1R,1,49,91,662155,6178041,6343337,66.52,66.51,232238,232238,115712,106417,8,8,17,18,46,23,4343212,35,110995,92.659,480.65,10.28,343586,5883828,119091,116286,56047,52145,16,17,35,37
9109,ATCC_27853,1,49,101,662032,6178091,6827737,66.52,66.11,232238,208411,105736,87723,9,11,19,25,45,26,4705340,47,181289,85.344,454.38,8.77,340824,5835446,105372,93088,53625,34239,18,22,39,50
9109,B136-33,1,49,93,662155,6178095,6421010,66.52,66.42,232238,208411,99004,96416,8,9,19,21,52,25,4817694,62,88360,91.214,977.14,19.4,291704,5862978,93460,92814,47507,42592,21,22,43,47
9109,BAMCPA07-48,1,49,93,662154,6177946,7021552,66.52,66.03,232238,205915,97934,71028,9,11,19,26,60,24,4680887,56,83699,83.893,975.49,22.41,535576,5897054,92988,76473,42810,29341,20,25,45,62
9109,Carb01_63,1,49,89,662155,6176695,7497593,66.53,65.6,232238,202640,115712,46284,8,11,17,30,58,31,5333941,53,103758,78.416,523.53,11.19,653037,5887028,121071,73036,47811,17594,16,23,37,70
9109,clc,0,49,110,570059,6150260,6264404,66.53,66.56,115283,115283,78045,74308,17,17,33,34,39,25,3232978,44,65101,93.929,495.66,11.08,228188,5886820,77706,75315,41037,38126,25,26,53,55
9109,Cu1510,1,49,92,662155,6177746,6123018,66.52,66.65,232238,232238,106402,115712,9,9,18,17,66,29,5020596,99,96965,94.071,955.28,27.85,561652,5763463,95792,96299,39328,40180,18,17,43,42
9109,DHS01,1,49,90,662155,6177921,7055752,66.52,65.76,234790,208787,115712,72665,8,10,16,23,50,23,4525261,30,158205,82.215,477.12,10.31,341101,5806039,92604,76634,55601,28240,18,23,40,56
9109,DK2,1,49,91,662155,6177502,6402658,66.52,66.27,232238,208786,115712,106417,8,9,18,19,32,24,3810710,45,108143,91.848,495.99,10.73,659973,5884520,152422,147922,61628,56047,12,13,29,31
9109,DSM_50071,1,49,91,662155,6178097,6317050,66.52,66.52,232238,232238,109372,106417,8,8,18,19,36,17,4028622,39,66019,94.343,491.08,9.78,343817,5964809,106417,106417,56101,55524,18,18,38,39
9109,F22031,1,49,92,662155,6177379,6603099,66.52,66.22,232238,208411,106417,96356,8,9,18,21,46,24,4652375,48,89515,89.015,486.51,10.12,454666,5882561,106417,96356,52415,42236,15,17,35,42
9109,F23197,1,49,91,662155,6177900,6535112,66.53,66.21,232238,232238,122552,106417,9,9,17,20,39,24,4274362,34,91535,90.514,522.77,11.9,343817,5920019,132035,106417,64086,49816,15,16,33,38
9109,F30658,1,49,89,662155,6176819,7273258,66.53,65.76,234790,208411,112398,50126,8,10,17,27,51,25,4561625,47,82786,81.114,508.81,11.29,375554,5906427,116034,94622,59139,28335,17,22,35,55
9109,F63912,1,49,88,662155,6178167,6641519,66.52,66.23,232238,208799,115712,100009,8,9,17,20,36,18,4162053,35,56520,89.738,475.71,10.81,343817,5965152,106660,100570,61211,49643,16,18,35,41
9109,F9670,1,49,94,662155,6178610,6794354,66.52,66.15,232238,202640,109372,91062,8,10,18,23,47,27,4621635,36,74705,87.366,457.3,13.09,343670,5941126,106261,98155,53625,42236,17,20,37,46
9109,F9676,1,49,92,662155,6177441,6368008,66.52,66.47,232238,208411,112353,109372,9,10,19,20,33,20,3758044,38,84712,93.198,465.38,11.17,343817,5941219,119752,112646,64086,56177,15,16,33,36
9109,FRD1,1,49,91,662155,6177283,6712339,66.52,66.09,234790,232238,112399,96344,8,9,18,22,48,25,4391658,43,81361,87.979,497.29,15.43,528005,5912104,123761,121313,52415,42011,15,17,34,42
9109,H27930,1,49,93,662155,6178036,6598021,66.52,66.23,232238,208411,109373,97934,8,9,18,21,44,26,4703163,34,116723,89.277,484.1,10.56,454684,5896702,106417,96356,49643,42236,15,17,36,43
9109,H47921,1,49,95,662155,6178470,6836415,66.52,66.07,208411,205914,106417,80192,9,10,19,24,62,27,4352599,35,66542,86.452,636.85,13.16,343817,5915345,102972,80239,49643,35249,19,23,41,53
9109,H5708,1,49,92,662155,6177703,6351710,66.52,66.5,232238,208411,109372,100009,8,9,18,20,33,20,4064571,51,87640,93.134,504.4,11.34,537988,5920229,119752,114746,62888,55353,14,15,31,33
9109,idba,0,49,155,476275,6171496,6264404,66.52,66.56,71877,71560,44105,42810,22,23,50,52,35,26,2207643,30,131103,94.165,497.28,11.19,216068,5905444,54838,54131,31169,30396,30,31,68,70
9109,idba_ud,0,49,132,570158,6176061,6264404,66.52,66.56,100501,100501,50389,48723,16,16,35,37,36,27,3157043,34,130227,94.198,494.4,11.02,307260,5908136,77690,74354,37001,35343,23,24,53,55
9109,IOMTU_133,1,49,94,662155,6178728,6897018,66.52,65.98,209417,205915,97934,87723,9,10,20,25,65,30,4842004,56,61743,85.862,984.5,19.52,524946,5927644,92988,78969,45859,28672,20,24,44,59
9109,LES431,1,49,90,662155,6177492,6550070,66.53,66.34,234790,234790,112399,106417,8,8,17,19,34,17,3832324,31,87752,90.39,445.41,10.18,343816,5926771,121842,108323,68373,55745,15,17,32,37
9109,LESB58,1,49,90,662155,6177492,6601757,66.53,66.3,234790,232238,112399,97934,8,9,17,20,36,19,3914923,31,87752,89.668,445.11,9.83,343816,5925651,121842,108323,68373,55617,15,17,32,38
9109,M1608,1,49,95,662155,6177353,6475385,66.52,65.96,209417,205915,100003,92183,9,10,20,23,67,34,5001121,50,379433,86.23,938.33,19.91,651406,5591195,93318,81593,32611,26078,17,19,45,53
9109,M18,1,49,90,662155,6178190,6327754,66.52,66.5,232238,232238,115712,106417,8,8,17,18,37,21,3918519,34,68174,93.653,470.24,10.72,342417,5931250,120792,120792,62807,56096,15,15,33,35
9109,M37351,1,49,91,662155,6177378,6897231,66.52,65.97,209417,202643,100003,87723,9,11,20,25,72,36,5308119,56,73146,85.336,959.95,19.44,651400,5891100,84791,77780,37629,25415,18,22,43,60
9109,MTB-1,1,49,93,662155,6177731,6580038,66.52,66.24,208411,205915,97934,92183,9,10,20,23,49,24,4637010,59,79327,90.092,971.56,19.62,537997,5933599,104110,94338,47920,38466,17,19,38,45
9109,N17-1,1,49,92,662154,6177720,6370730,66.52,66.41,208786,208786,115712,106417,9,9,18,19,33,21,3883698,35,106897,92.673,487.39,10.09,358726,5909277,143774,141160,63206,56177,14,15,31,33
9109,NCGM_1900,1,49,97,662155,6177888,6814936,66.52,65.98,197896,155737,97934,87723,9,11,21,26,68,27,4684885,57,132937,85.19,970.12,19.7,263833,5811703,81593,72293,38466,26827,23,28,50,65
9109,NCGM_1984,1,49,97,662155,6177888,6850954,66.52,65.96,197896,155737,97934,76745,9,11,21,27,68,27,4684885,57,132937,84.743,970.15,19.52,263833,5811712,81593,72293,38466,26037,23,28,50,66
9109,NCGM257,1,49,94,662155,6178522,7090694,66.52,65.91,232238,197897,99004,71028,8,11,19,26,60,30,5069328,55,64177,83.734,993.46,20.97,276072,5942209,93557,76625,45905,29324,22,27,46,64
9109,NCTC10332,1,49,91,662155,6178094,6316979,66.52,66.52,232238,232238,109372,106417,8,8,18,19,36,17,4028619,38,62099,94.332,490.72,11.76,343817,5964186,106417,106417,56101,55524,18,18,38,39
9109,PA1,1,49,91,662155,6178436,6498072,66.52,66.35,234790,232238,109372,97934,8,9,18,20,44,21,4114132,35,87920,91.206,531.55,10.58,370573,5932032,112344,107756,63067,48987,15,17,33,38
9109,PA1R,1,49,94,662155,6178622,6309305,66.52,66.29,234790,232238,109372,106417,8,9,18,19,39,20,4150956,34,311811,90.493,512.33,10.23,370573,5717311,109151,109151,49643,47920,16,16,35,37
9109,PA1RG,1,49,91,662155,6178436,6500439,66.52,66.34,234790,232238,109372,97934,8,9,18,20,44,22,4348922,35,87920,91.178,526.32,10.53,370573,5932033,112344,110829,63067,48987,15,16,33,38
9109,PA7,1,49,116,570158,6177197,6588339,66.52,66.45,128966,112556,80027,61138,13,15,29,33,16,9,871177,11,4086343,25.876,3801.19,124.59,90893,1708039,0,0,0,0,0,0,0,0
9109,PAO1,1,49,91,662155,6177557,6264404,66.52,66.56,232238,232238,112399,112399,9,9,18,18,38,23,4425966,36,89023,94.239,480.19,10.87,548059,5910357,112343,110486,63162,56047,16,17,36,37
9109,PAO1_Orsay,1,49,91,662155,6177557,6276469,66.52,66.54,232238,232238,112399,106417,9,9,18,19,39,24,4496995,35,89023,94.06,495.51,10.55,548059,5910350,112343,110486,56047,55021,16,17,36,37
9109,RP73,1,49,88,662155,6177971,6342034,66.52,66.46,232238,232238,115712,109372,8,8,17,18,33,19,4390821,35,55423,93.532,471.76,10.96,336792,5938877,125587,116982,63173,60398,16,17,35,36
9109,S86968,1,49,93,662155,6178133,6951288,66.52,66.04,234790,208411,112353,87723,8,10,17,23,58,29,4911246,34,77251,84.366,466.96,9.94,341142,5870529,101316,76745,47263,28470,18,23,41,56
9109,SCV20265,1,49,92,662155,6178607,6725183,66.52,66.25,232238,202640,112399,97934,8,10,18,22,40,23,4113171,40,62622,88.679,486.27,9.56,538080,5968658,106660,104446,63134,49716,17,20,35,43
9109,sga,0,49,861,51291,6185728,6264404,66.56,66.56,11991,11924,7324,7080,162,165,325,333,24,24,263863,25,226182,93.693,491.18,10.61,50366,5928232,11667,11546,6523,6196,168,171,343,352
9109,sgvi,0,49,91,570125,6187700,6264404,66.52,66.56,126642,126642,83250,83250,14,14,29,29,44,27,3627177,37,54833,94.348,497.35,11.07,307260,5920117,92212,92020,43081,42805,22,23,48,50
9109,SJTD-1,1,49,88,662155,6176789,6243825,66.53,66.5,234790,234790,106417,106417,8,8,18,18,22,17,3824308,42,64353,95.063,447.84,9.55,358590,5941679,125935,125935,65258,65258,13,13,30,30
9109,soapdenovo2,0,49,319,157681,6140954,6264404,66.54,66.56,38088,37769,20482,19756,52,54,106,110,28,24,1138619,27,170500,93.708,490.03,10.68,154333,5875134,32029,30566,16451,15888,60,62,125,130
9109,T38079,1,49,93,662155,6178618,6809437,66.52,66.15,234790,208411,112352,91064,8,10,17,22,47,26,4621643,36,74705,87.191,457.49,10.11,343670,5943138,110486,98154,53625,42011,16,19,36,46
9109,T52373,1,49,86,662154,6177688,6322459,66.52,66.51,234790,234790,115712,109371,8,8,16,17,25,19,3477157,32,48460,95.352,436.6,11.31,527631,6034021,148041,148041,63738,63302,10,10,27,28
9109,T63266,1,49,92,662154,6178006,6456866,66.52,66.33,234790,232238,115712,109372,8,9,17,19,34,23,4282741,35,88037,91.022,473.61,11.42,358629,5883160,141079,121834,64086,52415,13,14,30,33
9109,UCBPP-PA14,1,49,91,662155,6177378,6537648,66.52,66.29,209417,205915,100003,96416,9,10,20,22,56,30,4906363,56,74519,89.666,977.14,20.62,651400,5867593,99700,93318,45102,34705,17,19,39,46
9109,USDA-ARS-USMARC-41639,1,49,88,662155,6177506,6364583,66.53,66.39,232238,232238,122659,115712,9,9,17,18,47,24,4856171,41,82357,92.995,481.59,10.27,438572,5923766,114415,114415,56470,50274,17,17,35,38
9109,VA-134,1,49,91,662155,6178571,6400418,66.52,66.42,232238,232238,109372,99004,8,8,17,19,37,21,4099413,33,53058,93.499,470.43,10.76,343817,5990499,131578,116860,58062,50051,15,16,34,38
9109,velvet_57,0,49,130,389294,6139464,6264404,66.61,66.56,93482,92096,46747,46146,20,21,43,45,38,23,2395308,41,128721,93.945,491.56,11.54,233108,5888983,59134,57825,33552,32589,30,31,64,67
9109,velvet_optimiser,0,49,223,133579,6176457,6264404,66.55,66.56,56619,56619,30592,30342,39,39,76,78,33,28,1510020,42,166840,94.065,495.21,14.19,132050,5906692,47582,46738,24572,23911,43,44,89,92
9109,velvet_parametrized,0,49,137,403585,6140603,6264404,66.61,66.56,87446,79421,47278,46146,21,22,46,48,42,29,2773138,38,101248,93.908,495.36,11.81,232876,5887930,58385,58019,31924,29689,32,33,67,70
9109,velvet_unknown,0,49,328,145010,6093166,6264404,66.63,66.56,40202,38369,21962,20353,46,48,97,103,35,28,1351620,69,164047,93.15,489.57,13.42,130574,5834934,33206,31981,16749,15890,54,56,115,123
9109,VRFPA04,1,49,99,570158,6177728,6818030,66.52,66.48,197845,154761,97917,76705,11,13,23,29,416,51,5965724,151,71325,83.251,966.24,28.84,78001,5687771,23619,20176,10630,6452,77,92,174,228
9109,W16407,1,49,91,662155,6176938,6829406,66.52,65.93,208411,202640,106417,91064,9,11,20,25,50,28,4509759,35,62421,86.944,487.96,12.41,349214,5943868,93088,80092,50009,37629,18,22,40,51
9109,W36662,1,49,92,662155,6177970,6804266,66.52,66.17,208799,208548,109372,87723,9,10,18,23,39,20,4048339,40,67730,87.345,478.16,10.05,537345,5948571,107733,96786,51304,42584,15,18,35,45
